GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,RESIDENCE_STRATUM,SOCIAL_SUPPORT,HOUSEHOLD_SIZE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,REFRIGERATOR,PHONE,MOBILE,HOUSEHOLD_INCOME,JOB,PUBLIC_SCHOOL,SCHOOL_TYPE,QR_PRO,ENG_PRO
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,,3.0,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,4.0,0.0,no,ACADEMIC,95,74
M,3.0,3.0,Independent professional,Executive,3.0,None,3.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL/ACADEMIC,99,89
M,0.5,1.5,Independent,Home,2.0,None,4.0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,1.0,0.0,no,TECHNICAL/ACADEMIC,40,60
M,1.0,0.5,Independent,Home,4.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,59,65
M,0.5,0.5,,,2.0,None,5.0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL/ACADEMIC,94,88
M,3.0,2.5,Executive,Operator,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL/ACADEMIC,96,92
M,3.0,3.0,Executive,Home,3.0,None,3.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL/ACADEMIC,100,97
M,3.0,3.0,Technical or professional level employee,Technical or professional level employee,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,74,84
M,4.0,3.0,Executive,Auxiliary or Administrative,6.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,96,97
F,2.0,3.0,Technical or professional level employee,Home,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL/ACADEMIC,15,61
F,3.0,3.0,Executive,Independent,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL/ACADEMIC,46,75
M,2.0,1.5,Other occupation,Other occupation,4.0,None,12.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,98,28
M,3.0,3.0,Executive,Other occupation,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,98,74
M,3.0,2.0,Independent professional,Independent professional,4.0,None,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,100,100
M,2.5,2.5,Independent,Technical or professional level employee,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,77,81
M,3.0,3.0,Small entrepreneur ,Small entrepreneur ,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,98,89
M,3.0,1.5,Technical or professional level employee,Home,5.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,97,98
M,3.0,2.5,Executive,Executive,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,79,82
M,3.0,4.0,Small entrepreneur ,Small entrepreneur ,3.0,None,2.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,98,95
F,3.0,3.0,Independent,Executive,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,26,62
M,3.0,2.0,Independent professional,Home,5.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,95,97
F,,,,Home,4.0,None,4.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,,no,ACADEMIC,70,88
F,4.0,2.0,Technical or professional level employee,Executive,4.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL,60,74
F,2.0,2.0,Independent,Home,3.0,None,4.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL,31,65
M,3.0,2.5,Small entrepreneur ,Small entrepreneur ,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,96,92
M,3.0,3.0,Small entrepreneur ,Home,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,92,95
M,2.5,3.0,Technical or professional level employee,Technical or professional level employee,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,97,97
M,4.0,4.0,Executive,Executive,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,95,96
F,3.0,3.0,Small entrepreneur ,Small entrepreneur ,5.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,93,88
M,3.0,2.5,Other occupation,Home,4.0,None,5.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,no,TECHNICAL,71,22
M,3.0,3.0,Technical or professional level employee,Small entrepreneur ,3.0,None,5.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL,81,59
F,3.0,2.5,Independent professional,Independent professional,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,57,73
M,3.0,3.0,Independent professional,Independent professional,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,90,100
M,,,,,5.0,None,2.0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,2.0,0.0,no,ACADEMIC,79,72
F,2.0,3.0,Retired,Independent professional,3.0,None,4.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL,75,69
M,3.0,2.5,Independent,Technical or professional level employee,3.0,None,3.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,no,TECHNICAL,77,51
M,3.0,3.0,Technical or professional level employee,Home,3.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,TECHNICAL,99,68
F,,,,,2.0,None,3.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL,90,47
M,3.0,2.0,Entrepreneur ,Home,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,98,95
F,2.0,2.0,Independent,Independent,5.0,None,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,no,TECHNICAL,83,65
M,4.0,2.5,Technical or professional level employee,Operator,2.0,None,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,97,100
M,3.0,3.0,Retired,Small entrepreneur ,3.0,None,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,4.0,0.0,no,TECHNICAL,97,49
M,2.0,2.0,Executive,Other occupation,3.0,None,9.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,84,91
M,3.0,3.0,Retired,Technical or professional level employee,5.0,None,3.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,83,66
M,3.0,3.0,Technical or professional level employee,Retired,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,88,98
M,2.0,2.0,Independent,Independent,3.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,92,90
M,3.0,3.0,Auxiliary or Administrative,Auxiliary or Administrative,5.0,None,4.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,4.0,0.0,no,ACADEMIC,99,90
M,2.0,1.5,Operator,Home,2.0,None,3.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,2.0,0.0,no,TECHNICAL/ACADEMIC,82,77
M,2.5,2.5,Auxiliary or Administrative,Auxiliary or Administrative,3.0,None,5.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,94,68
M,3.0,3.0,Executive,Home,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,78,85
M,3.0,3.0,Independent professional,Auxiliary or Administrative,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,no,ACADEMIC,83,86
F,2.5,2.0,Independent,Home,2.0,Level 1,4.0,No,No,No,Yes,No,No,No,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,100,77
F,3.0,3.0,Independent professional,Independent professional,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,40,85
M,3.0,4.0,Entrepreneur ,Entrepreneur ,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,89,97
F,3.0,1.5,Independent,Operator,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,75,50
F,2.0,3.0,Operator,Technical or professional level employee,2.0,Level 2,4.0,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,97,75
M,2.5,2.5,Entrepreneur ,Home,6.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,98,100
F,3.0,3.0,Small entrepreneur ,Home,3.0,None,8.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,96,97
M,4.0,4.0,Executive,Technical or professional level employee,5.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,96,100
M,3.0,3.0,Entrepreneur ,Independent,6.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,99,98
M,2.0,2.0,Small entrepreneur ,Home,3.0,None,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,88,94
M,3.0,3.0,Independent,Independent professional,5.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,100,99
M,4.0,4.0,Executive,Executive,4.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,78,76
M,3.0,3.0,Entrepreneur ,Independent,6.0,None,4.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6.0,0.0,no,ACADEMIC,92,97
F,2.0,2.0,Independent,Home,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,67,82
M,4.0,4.0,Entrepreneur ,Independent professional,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,89,58
F,3.0,3.0,Independent professional,Technical or professional level employee,4.0,None,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,46,86
F,3.0,3.0,Executive,Small entrepreneur ,6.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,100,91
F,2.0,0.5,Independent,Other occupation,1.0,None,4.0,No,No,No,Yes,No,No,No,Yes,Yes,No,1.0,0.0,no,ACADEMIC,12,61
M,3.0,3.0,Executive,Executive,6.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,98,100
M,2.5,3.0,Independent,Independent professional,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,72,93
M,4.0,4.0,Retired,Executive,6.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,83,100
M,4.0,4.0,Executive,Operator,4.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7.0,0.0,no,ACADEMIC,67,96
M,2.0,2.0,Operator,Operator,3.0,None,6.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2.0,2.0,no,ACADEMIC,97,44
F,3.0,2.0,Small entrepreneur ,Small entrepreneur ,3.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,100,85
F,0.5,1.0,Operator,Operator,2.0,Level 1,2.0,No,No,No,No,No,Yes,Yes,No,No,Yes,2.0,0.0,no,ACADEMIC,35,8
M,1.0,2.0,Entrepreneur ,Small entrepreneur ,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,2.0,no,ACADEMIC,61,18
F,2.5,2.0,Retired,Auxiliary or Administrative,3.0,None,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,100,87
F,3.0,3.0,Entrepreneur ,Independent,6.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,84,98
M,3.0,4.0,Independent,Executive,4.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,82,76
M,3.0,3.0,Executive,Executive,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,92,95
M,4.0,3.0,Executive,Executive,5.0,None,3.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,93,98
M,3.0,3.0,Entrepreneur ,Home,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,47,93
M,3.0,3.0,Independent,Technical or professional level employee,3.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,100,98
M,4.0,3.0,Executive,Small entrepreneur ,4.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,90,90
M,4.0,4.0,Operator,Operator,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,95,100
F,4.0,4.0,Entrepreneur ,Independent professional,6.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,91,96
F,4.0,4.0,Technical or professional level employee,Technical or professional level employee,3.0,None,3.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,4.0,0.0,yes,TECHNICAL/ACADEMIC,59,38
F,3.0,3.0,Independent professional,Independent,4.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,91,97
M,4.0,4.0,Executive,Technical or professional level employee,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,TECHNICAL/ACADEMIC,99,100
M,3.0,3.0,Entrepreneur ,Entrepreneur ,3.0,None,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,1.0,no,ACADEMIC,95,99
F,3.0,3.0,Technical or professional level employee,Independent,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,99,96
M,,3.0,Other occupation,Small entrepreneur ,5.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,98,92
M,3.0,3.0,Small entrepreneur ,Executive,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,83,98
M,4.0,4.0,Small entrepreneur ,Home,3.0,None,3.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,98,94
M,,,Other occupation,Other occupation,3.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.0,1.0,no,ACADEMIC,18,18
M,3.0,3.0,Other occupation,Other occupation,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4.0,1.0,no,ACADEMIC,78,60
M,2.0,1.5,Operator,Home,3.0,Level 2,6.0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,0.0,yes,ACADEMIC,81,61
M,3.0,3.0,Executive,Executive,6.0,None,3.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,93,96
M,3.0,3.0,Retired,Small entrepreneur ,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,98,100
M,2.0,2.0,Independent,Independent,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.0,1.0,no,ACADEMIC,51,22
M,3.0,3.0,Entrepreneur ,Entrepreneur ,6.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,88,92
M,3.0,3.0,Retired,Technical or professional level employee,4.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,100,100
M,3.0,3.0,Executive,Executive,6.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,84,98
F,3.0,3.0,Executive,Independent professional,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,87,95
M,4.0,3.0,Executive,Technical or professional level employee,6.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,75,97
M,4.0,3.0,Independent professional,Independent,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,100,98
M,2.0,2.0,Independent,Independent,3.0,None,3.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,87,97
F,4.0,4.0,Independent professional,Executive,3.0,None,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,100,93
F,,,,Home,3.0,None,3.0,No,No,No,No,No,No,No,Yes,Yes,Yes,2.0,,no,ACADEMIC,98,83
M,3.0,3.0,Technical or professional level employee,Home,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5.0,0.0,no,TECHNICAL/ACADEMIC,77,79
F,2.0,2.0,Operator,Auxiliary or Administrative,2.0,Level 1,6.0,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,2.0,0.0,no,TECHNICAL,75,67
M,3.0,3.0,Technical or professional level employee,Home,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,62,88
M,4.0,4.0,Technical or professional level employee,Independent professional,2.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,100,99
M,3.0,3.0,Entrepreneur ,Home,2.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,59,83
M,3.0,3.0,Independent professional,Small entrepreneur ,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,100,83
M,2.0,2.0,Independent,Independent,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3.0,0.0,no,ACADEMIC,71,77
M,2.5,2.0,Executive,Executive,4.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,75,97
F,3.0,3.0,Entrepreneur ,Small entrepreneur ,4.0,None,4.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,69,97
M,4.0,3.0,Entrepreneur ,Independent professional,2.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,99,98
M,3.0,3.0,Independent,Home,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5.0,0.0,no,ACADEMIC,99,100
F,4.0,4.0,Other occupation,Other occupation,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,80,73
M,2.0,1.5,Operator,Entrepreneur ,1.0,Level 2,7.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,yes,ACADEMIC,28,10
F,2.0,1.0,Small entrepreneur ,Small entrepreneur ,2.0,None,4.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,48,55
M,1.5,1.0,Operator,Home,2.0,Level 2,5.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2.0,0.0,no,ACADEMIC,60,41
M,4.0,4.0,Entrepreneur ,Small entrepreneur ,4.0,None,2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,92,96
M,3.0,4.0,Independent professional,Entrepreneur ,4.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,99,100
F,2.5,2.5,Independent,Home,5.0,None,5.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4.0,0.0,no,ACADEMIC,61,65
